wallet,deposit_volume,borrow_volume,repay_volume,redeem_volume,deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,active_days,token_diversity,total_tx,credit_score,score_range
0x003064605a8677d5b2e8def620ac67d8f1f1b5ed,197.0,0.0,0.0,197.981473,1,0,0,2,0,33.31,1,3,563.434336973612,"(500, 600]"
0x003094a91a3b5523bc601b221f80183bd347e9ae,2.2,0.0,0.0,0.0,2,0,0,0,0,5.46,1,2,317.54150809805685,"(300, 400]"
0x0030a2c2268c9faafeae8ea22802db8b3c87f82c,0.000166,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.0016598622353,"(300, 400]"
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,94406.706291,125218.12,125360.263608,94540.69,37,11,11,8,0,73.14,6,67,991.522878968666,"(900, 1000]"
0x0030de8f624d2b2513c6dbbff788bb109b80304d,0.000512,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.0051186897272,"(300, 400]"
0x0030e3b40e23f92bd064457fd1fb848482a0bde5,1.814005,0.0,0.0,0.0,2,0,0,0,0,0.0,2,2,320.34608735520754,"(300, 400]"
0x0030ee334630838ea4dee0b4b6ecbc973529031f,4145.0,4350.0,1806.279483,0.0,8,7,1,0,0,74.04,3,16,774.9162661253451,"(700, 800]"
0x0031fc2cc920357b9767ab93200c5bf69c43e8e7,1.071185,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,312.2812090725052,"(300, 400]"
0x00326e37cef76788f6b0cf643c94481d60bd3d58,30.0,0.0,0.0,0.0,2,0,0,0,0,0.13,2,2,444.36153871151816,"(400, 500]"
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,3662298.733813,7171152.922344,3441452.800927,2004042.471197,179,154,148,42,0,103.79,7,523,1000.0,"(900, 1000]"
0x003325d3054cd7668fb16f19ea11bae6d02a474c,0.0,0.0,0.0,2005930.544632,0,0,0,5,0,6.75,2,5,411.125,"(400, 500]"
